cliente_id,venda_id,produto_id,valor,data_venda,nome,data_nascimento
988,15,148,1283.66,2023-02-10,Daffi,1963-06-28
580,47,136,531.64,2023-02-10,Jeno,2022-05-22
767,105,141,231.78,2023-02-10,Giuseppe,1957-10-28
783,236,109,1254.52,2023-02-10,Peggy,1985-11-24
111,375,111,1486.54,2023-02-10,Crista,1981-04-20
661,402,117,1390.57,2023-02-10,Cyndia,1968-11-02
85,411,145,1437.73,2023-02-10,Lilah,1992-11-21
426,602,128,272.48,2023-02-10,Blaire,1954-12-13
764,716,117,282.53,2023-02-10,Halley,2006-05-15
533,957,124,1368.95,2023-02-10,Cristiano,1982-01-29
731,1080,102,348.14,2023-02-10,Pearle,1970-11-09
80,1136,143,1131.91,2023-02-10,Elliot,1998-06-20
706,1433,142,243.42,2023-02-10,Sybyl,1961-11-09
825,1625,120,1340.7,2023-02-10,Richard,1956-10-28
503,1707,112,1293.54,2023-02-10,James,1971-01-27
946,1914,102,384.67,2023-02-10,Chad,1957-11-27
325,1997,100,821.06,2023-02-10,Reamonn,1966-05-05
772,2047,127,588.87,2023-02-10,Rurik,1976-08-20
531,2211,131,1379.08,2023-02-10,Jan,2011-04-13
261,2263,107,892.76,2023-02-10,Rem,1979-10-12
41,2721,123,1108.23,2023-02-10,Romy,2002-11-02
557,2882,132,849.78,2023-02-10,Karoly,2019-08-02
615,2916,126,209.53,2023-02-10,Herbie,1974-05-14
962,2917,131,429.72,2023-02-10,Catherine,2010-08-12
435,3019,138,310.83,2023-02-10,Jeralee,1971-10-09
611,3258,143,1430.63,2023-02-10,Baird,1952-11-27
522,3414,133,1481.22,2023-02-10,Jerad,2017-10-28
248,4108,111,754.56,2023-02-10,Ree,1971-04-26
314,4155,123,1218.13,2023-02-10,Evania,2013-09-06
240,4456,136,660.88,2023-02-10,Simonne,2009-12-21
285,4917,111,400.61,2023-02-10,Rosalinde,1998-08-06
931,4980,136,327.52,2023-02-10,Rudy,2013-05-21
214,5032,108,1360.37,2023-02-10,Cletis,1971-05-27
446,5139,128,1185.95,2023-02-10,Leticia,1959-02-13
